Auction Date,Branch Name,Stock Number,Year,Make,Model,Series Name,Current Bid,Title/Sale Document,Public,Primary Damage,Secondary Damage,Loss Type,New Inventory Time,Timed Auction,Vehicle Type,Vehicle Subtype,Odometer,ODO Status,Start Code,Air Bags,Key,Exterior Color,Interior Color,Engine,Fuel Type,Cylinders,Vin#,Country,Transmission Type,Seller,Drive Line Type,Body Style,Country of Origin,Offsite,Lane,Run,Aisle,Stall,Seller Type,ACV,Region
"Thu Mar 06, 9:30am CST",Kansas City East,41576792,1999,CADILLAC,DEVILLE,STANDARD,,Clear,NO,Right Side," ",Other,"Tue Mar 04, 1:33am CST",NO,Automobiles,,"143,298 mi",,Run & Drive,Intact Airbags,Key Available,Beige,,"4.6L V-8 DOHC, 275HP",Gasoline,8 Cyl,1G6KD54Y3XU803062,United States,Automatic,,Front Wheel Drive,Sedan,United States,NO,A,8,"SG ",29,Non-Insurance,$500 USD,West
"Thu Mar 06, 9:30am CST",Kansas City East,41261586,2020,CADILLAC,XT4,AWD SPORT,"$1,950 USD",Salvage,NO,Front End,UNKNOWN,Collision,"Wed Mar 05, 1:16am CST",NO,SUVs,,"65,859 mi",,Run & Drive,Intact Airbags,Key Available,Black,,"2.0L I-4 DI, DOHC, VVT, turbo, 237HP",Gasoline,4 Cyl,1GYFZFR43LF090264,United States,Automatic,AAA Missouri,All-Wheel Drive,Utility,United States,NO,A,22,"SG ",33,Insurance,"$25,102 USD",West
"Thu Mar 06, 9:30am CST",Kansas City East,41670912,1991,CHEVROLET,CAPRICE," ",,Clear,NO,Front End," ",Other,"Wed Mar 05, 1:38am CST",NO,Classics,,"200,295 mi",Not Required/Exempt,Run & Drive,Intact Airbags,Key Available,White,,5.0L V8 FI OHV 16V F2,Gasoline,8 Cyl,1G1BL53E8MW131774,United States,Automatic,Charitable Adult Rides & Services,Rear Wheel Drive,Sedan 4 Door,United States,NO,,TBD,"SG ",41,Non-Insurance,"$1,100 USD",West
"Thu Mar 06, 9:30am CST",Kansas City East,41710447,2009,CHEVROLET,COBALT,LT,,Clear,NO,Right Side,REAR,Other,"Wed Mar 05, 1:40am CST",NO,Automobiles,,"156,868 mi",,Stationary,Intact Airbags,Key Available,Blue,,"2.2L I-4 DOHC, VVT, 155HP",Gasoline,4 Cyl,1G1AT18HX97252086,United States,Automatic,,Front Wheel Drive,Coupe,United States,NO,A,46,"   ",,Non-Insurance,$0 USD,West
"Thu Mar 06, 9:30am CST",Kansas City East,41686161,2009,CHEVROLET,COLORADO,WORK TRUCK,$725 USD,Clear,NO,None,UNKNOWN,Other,"Wed Mar 05, 1:39am CST",NO,Automobiles,,"125,121 mi",,Run & Drive,Intact Airbags,Key Available,White,,"2.9L I-4 DOHC, VVT, 185HP",Gasoline,4 Cyl,1GCDT149798153495,United States,Automatic,,Four Wheel Drive,Regular Cab,United States,NO,,TBD,"SG ",39,Non-Insurance,$0 USD,West
"Thu Mar 06, 9:30am CST",Kansas City East,41267430,2013,CHEVROLET,CRUZE,2LT AUTO,,Clear,NO,Right Side,UNKNOWN,Other,"Tue Mar 04, 1:16am CST",NO,Automobiles,,"276,339 mi",,Run & Drive,Intact Airbags,Key Available,White,,"1.4L I-4 DOHC, VVT, turbo, 138HP",Gasoline,4 Cyl,1G1PE5SB7D7129385,United States,Automatic,,Front Wheel Drive,Sedan,United States,NO,A,11,"SG ",32,Non-Insurance,"$2,225 USD",West
"Thu Mar 06, 9:30am CST",Kansas City East,41463876,2012,CHEVROLET,CRUZE,2LT,,Clear,NO,Right Front,UNKNOWN,Other,"Tue Mar 04, 1:26am CST",NO,Automobiles,,"275,061 mi",,Run & Drive,Intact Airbags,Key Available,Silver,,"1.4L I-4 DOHC, VVT, turbo, 138HP",Gasoline,4 Cyl,1G1PG5SC5C7222701,United States,Automatic,,Front Wheel Drive,Sedan,United States,NO,A,12,"SG ",35,Non-Insurance,"$1,825 USD",West
"Thu Mar 06, 9:30am CST",Kansas City East,41704405,2017,CHEVROLET,EQUINOX,LS,,Clear,NO,Engine Damage,FRONT END,Other,"Wed Mar 05, 1:40am CST",NO,SUVs,,"168,945 mi",,Run & Drive,Intact Airbags,Key Available,Silver,,"2.4L I-4 DI, DOHC, VVT, 182HP",Gasoline,4 Cyl,2GNALBEK9H1550998,United States,Automatic,,Front Wheel Drive,Utility,Canada,NO,A,48,"AF ",33,Non-Insurance,$0 USD,West
"Thu Mar 06, 9:30am CST",Kansas City East,41692504,2008,CHEVROLET,EQUINOX,LT,,Clear,NO,Left Front,LEFT SIDE,Other,"Tue Mar 04, 1:38am CST",NO,SUVs,,"174,587 mi",Not Required/Exempt,Run & Drive,Intact Airbags,Key Available,Silver,,3.4L V-6 185HP,Gasoline,6 Cyl,2CNDL33F886322233,United States,Automatic,,Front Wheel Drive,Utility,Canada,NO,A,13,"SG ",38,Non-Insurance,"$1,175 USD",West
"Thu Mar 06, 9:30am CST",Kansas City East,41131377,2007,CHEVROLET,EQUINOX,LT,,Clear,NO,Fresh Water,FRONT END,Other,"Wed Mar 05, 1:13am CST",NO,SUVs,,"128,836 mi",Not Required/Exempt,Run & Drive,Intact Airbags,Key Available,Purple,,3.4L V-6 185HP,Gasoline,6 Cyl,2CNDL73F176027075,United States,Automatic,,All-Wheel Drive,Utility,Canada,NO,,TBD,"SG ",46,Non-Insurance,"$1,250 USD",West
"Thu Mar 06, 9:30am CST",Kansas City East,41705940,2008,CHEVROLET,HHR PANEL,LS,,Clear,NO,Left & Right Side,REAR,Other,"Wed Mar 05, 1:40am CST",NO,Automobiles,,"272,343 mi",Not Required/Exempt,Run & Drive,Intact Airbags,Key Available,White,,"2.2L I-4 DOHC, 149HP",Gasoline,4 Cyl,3GCCA85D88S698950,United States,Automatic,,Front Wheel Drive,Utility,Mexico,NO,A,29,"   ",,Non-Insurance,$800 USD,West
"Thu Mar 06, 9:30am CST",Kansas City East,40892716,2004,CHEVROLET,MALIBU,LS,,Salvage,NO,Rear,UNKNOWN,Collision,"Tue Mar 04, 1:08am CST",NO,Automobiles,,"119,562 mi",,Run & Drive,Intact Airbags,Key Available,Silver,,3.5L V-6 200HP,Gasoline,6 Cyl,1G1ZT52874F174187,United States,Automatic,AAA Missouri,Front Wheel Drive,Sedan,United States,NO,A,19,"B  ",38,Insurance,"$3,890 USD",West
"Thu Mar 06, 9:30am CST",Kansas City East,41578126,2005,CHRYSLER,TOWN & COUNTRY,LX,,Clear,NO,Left & Right Side," ",Other,"Wed Mar 05, 1:33am CST",NO,Vans,,"321,991 mi",Not Required/Exempt,Stationary,Intact Airbags,Key Available,White,,3.3L V-6 180HP,Gasoline,6 Cyl,2C4GP44R65R510022,United States,Automatic,,Front Wheel Drive,Lwb,Canada,NO,A,24,"SF ",33,Non-Insurance,$850 USD,West
"Thu Mar 06, 9:30am CST",Kansas City East,41561541,1997,DODGE,DAKOTA,SLT/SPORT,,Clear,NO,Left & Right Side," ",Other,"Wed Mar 05, 1:32am CST",NO,Automobiles,,"170,248 mi",Not Required/Exempt,Run & Drive,Intact Airbags,Key Available,Green,,3.9L V-6 175HP,Gasoline,6 Cyl,1B7GL23X8VS124300,United States,Automatic,,,Extended Cab,United States,NO,,TBD,"AA ",15,Non-Insurance,$700 USD,West
"Thu Mar 06, 9:30am CST",Kansas City East,41364902,2017,DODGE,JOURNEY,CROSSROAD PLUS,,Salvage,NO,Left Front,RIGHT SIDE,Collision,"Wed Mar 05, 1:21am CST",NO,SUVs,,1 mi,,Stationary,Intact Airbags,,White,,"3.6L V-6 DOHC, VVT, 283HP",Flexible Fuel,6 Cyl,3C4PDCGG1HT538339,United States,Automatic,AAA Missouri,Front Wheel Drive,Utility,Mexico,NO,A,49,"C  ",36,Insurance,"$9,341 USD",West
"Thu Mar 06, 9:30am CST",Kansas City East,41498945,2004,DODGE,RAM 1500,SLT/LARAMIE,$25 USD,Clear,NO,Right Side,REAR,Other,"Tue Mar 04, 1:28am CST",NO,Automobiles,,"260,068 mi",Not Required/Exempt,Stationary,Intact Airbags,Key Available,Purple,,5.7L V-8 345HP,Gasoline,8 Cyl,1D7HU18D54S637860,United States,Automatic,,Four Wheel Drive,Quad Cab,United States,NO,A,10,"AA ",6,Non-Insurance,"$3,375 USD",West
"Thu Mar 06, 9:30am CST",Kansas City East,41319441,2019,FORD,ESCAPE,SE,,Salvage,NO,Left Side,UNKNOWN,Collision,"Tue Mar 04, 1:18am CST",NO,SUVs,,"87,733 mi",,Run & Drive,Deployed Airbags,Key Available,White,,"1.5L I-4 DI, DOHC, VVT, turbo, 179HP",Gasoline,4 Cyl,1FMCU0GD9KUB27265,United States,Automatic,AAA Missouri,Front Wheel Drive,Utility,United States,NO,A,17,"C  ",33,Insurance,"$12,864 USD",West
"Thu Mar 06, 9:30am CST",Kansas City East,41098674,2013,FORD,ESCAPE,S,,Clear,NO,Right Rear," ",Other,"Wed Mar 05, 1:12am CST",NO,SUVs,,"209,343 mi",,Run & Drive,Intact Airbags,Key Available,White,,"2.5L I-4 DOHC, VVT, 168HP",Gasoline,4 Cyl,1FMCU0F74DUA04875,United States,Automatic,TitleMax,Front Wheel Drive,Sport Utility,United States,NO,A,40,"J  ",48,Non-Insurance,"$2,525 USD",West
"Thu Mar 06, 9:30am CST",Kansas City East,41437455,15,FORD,F-150,XLT,,Clear,NO,Front End," ",Other,"Wed Mar 05, 1:25am CST",NO,Automobiles,,"212,708 mi",,Run & Drive,Intact Airbags,Key Available,Black,,"5.0L V-8 DOHC, VVT, 385HP",Gasoline,8 Cyl,1FTEW1EF6FFB08605,United States,Automatic,TitleMax,Four Wheel Drive,Supercrew Cab Styleside,United States,NO,A,32,"K  ",45,Non-Insurance,"$17,250 USD",West
"Thu Mar 06, 9:30am CST",Kansas City East,41355821,2002,FORD,F-150,LARIAT/XLT,,Clear,NO,Front End," ",Other,"Wed Mar 05, 1:20am CST",NO,Automobiles,,"368,211 mi",Not Required/Exempt,Run & Drive,Intact Airbags,Key Available,White,,5.4L V-8 260HP,Gasoline,8 Cyl,1FTRW08L62KA66189,United States,Automatic,TitleMax,Four Wheel Drive,Supercrew Cab Styleside,United States,NO,A,31,"K  ",48,Non-Insurance,"$3,475 USD",West
"Thu Mar 06, 9:30am CST",Kansas City East,40203966,1998,FORD,F-150,LARIAT/STANDARD/XL/XLT,,Clear,NO,Rear," ",Other,"Wed Mar 05, 1:07am CST",NO,Automobiles,,"163,810 mi",Not Required/Exempt,Run & Drive,Intact Airbags,Key Available,Gold,,4.6L V-8 220HP,Gasoline,8 Cyl,1FTZX1761WKB18557,United States,Automatic,TitleMax,,Extended Cab,United States,NO,A,34,"J  ",46,Non-Insurance,"$1,000 USD",West
"Thu Mar 06, 9:30am CST",Kansas City East,41667913,1997,FORD,F-150,LARIAT/XL/XLT,,Clear,NO,Left & Right Side," ",Other,"Wed Mar 05, 1:38am CST",NO,Automobiles,,"168,813 mi",Not Required/Exempt,Run & Drive,Intact Airbags,Key Available,Red,,5.4L V-8 230HP,Gasoline,8 Cyl,1FTEX18L7VKD72386,United States,Automatic,,Four Wheel Drive,Standard Cab,United States,NO,A,45,"AA ",18,Non-Insurance,$0 USD,West
"Thu Mar 06, 9:30am CST",Kansas City East,41067187,2014,FORD,FUSION,SE,,Salvage,NO,Rear,UNKNOWN,Collision,"Wed Mar 05, 1:12am CST",NO,Automobiles,,"76,715 mi",,Stationary,Intact Airbags,,Black,,"2.5L I-4 DOHC, VVT, 175HP",Gasoline,4 Cyl,1FA6P0H79E5365316,United States,Automatic,Philadelphia Insurance Companies,Front Wheel Drive,Sedan,United States,NO,,TBD,"H  ",36,Insurance,"$9,858 USD",West
"Thu Mar 06, 9:30am CST",Kansas City East,38882119,2014,FORD,FUSION,SE,,Salvage,NO,All Over,ELECTRICAL,Collision,"Wed Mar 05, 1:06am CST",NO,Automobiles,,"242,412 mi",,Run & Drive,Intact Airbags,Key Available,White,,"1.5L I-4 DI, DOHC, VVT, turbo, 181HP",Gasoline,4 Cyl,3FA6P0HD6ER315833,United States,Automatic,,Front Wheel Drive,Sedan,Mexico,NO,,TBD,"H  ",34,Insurance,"$7,313 USD",West
"Thu Mar 06, 9:30am CST",Kansas City East,37520631,2014,FORD,MUSTANG,V6,$125 USD,Salvage,NO,Front End,UNKNOWN,Collision,"Wed Mar 05, 1:06am CST",NO,Automobiles,,"132,460 mi",,Run & Drive,Intact Airbags,Key Available,Red,,"3.7L V-6 DOHC, VVT,   305HP",Gasoline,6 Cyl,1ZVBP8EM5E5278947,United States,Automatic,USAA Guidewire,Rear Wheel Drive,Convertible,United States,NO,A,26,"SF ",45,Insurance,"$12,466 USD",West
